,P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,EXP_R,CORPO
0,1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,3,,,,,,,,,,,,,
3,,,,,,4,5,,6,,,7,16,,
4,,,,,,,,,,,,,,,
5,,,,,,32,5,,6,,,7,16,,
6,,,,,,33,5,,6,,,7,16,,
7,,,,,,34,5,,6,,,7,16,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,11,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,23,,24,,,25,16,,22
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,55,29,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,23,,24,,,25,16,,18
24,,,,,,,23,,24,,,25,16,,19
25,,,,,,,23,,24,,,25,16,,20
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,36,39,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,40,39,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,45,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,52,,,49,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,54,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,58,,,,
58,,,,,,,,,,,,,,,
